side,input,coef_std,coef_raw,window,n
D,poss_pct2,1.2891868330771472,7.570245492763308,2012-2012,11254
D,gs_pct,-0.3945568832768792,-1.0162842057160963,2012-2012,11254
D,gs_pct2,-0.46329158170888607,-1.0746387000382487,2012-2012,11254
D,age,-7.969480989723867,-1.8977971740131707,2012-2012,11254
D,age2,14.539202465615862,0.06130854176731374,2012-2012,11254
D,age3,-6.80134040811682,-0.0006591656521017893,2012-2012,11254
O,poss_pct,0.889279358133585,4.904020859420912,2013-2013,11234
O,poss_pct2,0.5428207828466123,3.1926014830463787,2013-2013,11234
O,gs_pct,-1.680610095199428,-4.336311795021783,2013-2013,11234
O,gs_pct2,1.7510347481776714,4.0671513201479685,2013-2013,11234
O,age,11.719497516496336,2.7908327115294282,2013-2013,11234
O,age2,-21.068251695956583,-0.08885396391044327,2013-2013,11234
O,age3,9.492942618510092,0.0009203375924441777,2013-2013,11234
D,poss_pct,-0.5540896513418492,-3.0536544013762845,2013-2013,11244
D,poss_pct2,1.214007581615558,7.139021585121639,2013-2013,11244
D,gs_pct,-0.3821070551122492,-0.9855293199913902,2013-2013,11244
D,gs_pct2,-0.46285039916667636,-1.0749002254585722,2013-2013,11244
D,age,-7.998349093618095,-1.9044182860900112,2013-2013,11244
D,age2,14.511463799012049,0.06119058218588749,2013-2013,11244
D,age3,-6.7432789079332505,-0.0006536284512011051,2013-2013,11244
O,poss_pct,0.8640454657970736,4.761622013603469,2014-2014,11241
O,poss_pct2,0.5562995479445866,3.268600396465784,2014-2014,11241
O,gs_pct,-1.6303674551579237,-4.202699342760635,2014-2014,11241
O,gs_pct2,1.7030210868682596,3.954047255163315,2014-2014,11241
O,age,10.755147049208862,2.5584370802816796,2014-2014,11241
O,age2,-19.22838694242392,-0.08099408589266072,2014-2014,11241
O,age3,8.626554960464627,0.0008351222620138707,2014-2014,11241
D,poss_pct,-0.5834594737568978,-3.2133238706971556,2014-2014,11251
D,poss_pct2,1.254502374938317,7.369753027238737,2014-2014,11251
D,gs_pct,-0.3900792440760007,-1.0051500156927309,2014-2014,11251
D,gs_pct2,-0.46116973686762686,-1.070575358360752,2014-2014,11251
