season,side,team,raw,adjusted,selective,adj_tov,adj_oreb,adj_chance,adj_fga_rate,adj_ft,adj_ftr,adj_fg3,adj_rim,adj_mid,adj_rim_share,adj_mid_share,adj_thr_share,first_actual,truth,w
1997,off,1610612748,102.83542029586994,103.97763631805779,104.00437047629843,103.30669283598368,102.91410895908761,102.68518996555531,102.97187517575261,103.05374269564061,102.77415048649807,102.96732744672252,102.73916262808274,103.25875240146846,102.86152851355828,102.81741354949949,102.81644627050063,102.6308652020613,108.31973898858075,3678
1997,off,1610612749,106.17544586725485,106.03892999854394,105.56763707662921,106.26892437064424,106.14768689442133,106.43818645943198,106.32748104913212,106.16229235465943,106.05562598038817,106.7269648792572,105.90710669259384,105.35207622952471,106.19084206143874,106.20084550797694,106.18004608022925,105.76716738197425,104.22270037654653,3718
1997,off,1610612750,102.9776812144925,103.64752316247042,103.37183449977586,103.09796749661065,102.94602611813737,102.95263314066781,103.19244069412095,102.88646953774165,102.83867060088689,103.2531185773084,103.0980540294262,103.11679990286612,103.01344988881728,103.00918275322984,102.99254174755536,102.76155071694104,105.67037625861155,3774
1997,off,1610612751,100.48594791373544,102.85174354298407,103.65053420478131,100.58742094210564,100.01059113568212,99.8707683103615,100.31091289268268,100.54527143465921,100.6083171087232,101.84588882916185,101.14260943874413,101.83946063421355,100.48006408530797,100.48802344286936,100.48897971460839,99.39024390243902,106.22384937238493,3824
1997,off,1610612752,102.3534205137979,103.04598228713178,102.99914907228955,103.4705770748623,102.35885996082759,102.35120055666847,102.39417193307088,102.26963047567988,102.32349352320128,102.10266129290375,102.40370126357566,102.19573656573009,102.35105574198458,102.35862923542612,102.35923473211103,101.57232704402516,104.42784742598026,3749
1997,off,1610612753,100.35267440184744,102.39642425714669,102.91971270890176,100.78302143805324,100.13821033342403,99.98420361023982,100.19349234220176,100.39488985205467,100.51126716072005,101.32166711234302,100.59021441617026,101.29201843785921,100.37273505044472,100.35448804405544,100.34782045928675,100.0,107.8536847767617,3718
1997,off,1610612754,103.26504338169526,103.78839963299903,103.21147352420338,103.58730580244118,103.37935362425296,103.29126925663643,103.77701789795762,103.36233881423891,102.90386667544536,102.58770481722578,103.288020350407,103.69643481718123,103.27039863785991,103.28473048092926,103.28328782568713,102.9317697228145,106.07853684776762,3718
1997,off,1610612755,100.37290937094018,103.43157929887349,103.44659879738303,101.04983743547174,99.96732640155277,100.11044682613007,100.66043737261286,100.45189381874654,100.18994269026415,102.0853153668145,100.99682563214512,100.93884102329483,100.34512447051581,100.35246554585261,100.3724377116212,99.80024968789014,105.50275137568785,3998
1997,off,1610612756,103.62846687869771,104.58065631364828,104.49022028760307,103.45957884307163,104.02395191348157,103.63671006052894,103.65346259758176,103.52763072030648,103.60434886710621,104.56508685910124,102.88604744105524,104.19351857001908,103.6578140349435,103.65418337570166,103.63034568753247,103.62707535121328,112.7029116207163,3881
1997,off,1610612757,106.75222538163987,107.34919235874267,106.9321372613663,107.29534655497235,106.28236923171988,106.82996039678187,107.11748932428742,106.84770666817397,106.50676200009457,107.14149568064462,106.55973548166703,106.81547518598761,106.74503247956979,106.73808592084565,106.7486170842037,106.23349181193872,107.34522560335782,3812
