season,players,poss_off,poss_def,fgm_unast,fgm_ast,tov_all,tov_stolen,foul_off,blk,blk_rus,blk_rim,blk_3,stl,foul_loose,foul_tech,goaltend,unast_share,russell_share,rim_share,three_share,stolen_share,pbp_fgm,box_fgm,pbp_tov,box_tov,pbp_blk,box_blk,pbp_stl,box_stl
2014,517,1169350.0,1169350.0,3.3050840210373282,4.629152948219096,2.956001197246333,1.6159404797537091,0.39816992346175223,0.9914909992731004,0.5719416770000427,0.5886176080728609,0.033351862145636464,1.6159404797537091,0.2801556420233463,0.08363620814982682,0.049514687646983364,0.41655978184718523,0.5768500948766604,0.5936691392099361,0.033638088666551665,0.5466643522536596,92779.0,92779.0,34566.0,34566.0,11594.0,11594.0,18896.0,18895.0
2015,533,1164630.0,1164630.0,3.270137296823884,4.654010286528769,2.895769471849429,1.634081210341482,0.3755699234950156,1.01293973193203,0.5775224749491256,0.6086053081236101,0.03425980783596507,1.634081210341482,0.283781115032242,0.08569245167993268,0.04748289156212703,0.4126800091020404,0.5701449521064678,0.6008307196744935,0.03382215817580741,0.5642994810971089,92287.0,92287.0,33725.0,33725.0,11797.0,11797.0,19031.0,19031.0
2016,514,1189020.0,1189020.0,3.299692183478831,4.6114447191805015,2.8541151536559517,1.6234377891036316,0.33750483591529157,1.025466350439858,0.5861970362146978,0.6338833661334544,0.03187498948714067,1.6234377891036316,0.24843989167549746,0.07821567341171722,0.04877966728902794,0.4170945622707702,0.5716394652669564,0.6181415566308538,0.031083408513081275,0.5688059877416313,94065.0,94065.0,33936.0,33936.0,12193.0,12193.0,19303.0,19303.0
2017,524,1194005.0,1194005.0,3.383654172302461,4.661622020008291,2.7551810922064814,1.5870955314257478,0.33215941306778446,0.9772990900373114,0.5619741960879561,0.6088751722145217,0.03693451869967044,1.5870955314257478,0.25996541053010663,0.08333298436773716,0.0430483959447406,0.4205765086767783,0.5750278515725427,0.6230182534921587,0.03779244151169766,0.5760403684226525,96061.0,96061.0,32897.0,32897.0,11669.0,11669.0,18950.0,18950.0
2018,577,1205320.0,1205320.0,3.341187402515515,4.742557992898152,2.790794145952942,1.5749344572395714,0.33385325058905524,0.9827265788338367,0.5752829124215977,0.5256695317426078,0.044303587429064484,1.5749344572395714,0.23346497195765442,0.08528855407692564,0.04596289781966615,0.413321701647252,0.5853946813001266,0.5349092444069228,0.04508231321232588,0.5643320054700042,97435.0,97435.0,33638.0,33638.0,11845.0,11845.0,18983.0,18983.0
2019,570,1237550.0,1237550.0,3.2789786271261767,4.887317684133975,2.690234737990384,1.517433639044887,0.36289442850793907,0.9846066825582804,0.564340834713749,0.531130055351299,0.0505838147953618,1.517433639044887,0.24225283826916083,0.0904205890671084,0.04694759807684538,0.4015257960459916,0.5731637258924908,0.5394337299958966,0.05137464095199015,0.5640525035292704,101062.0,101062.0,33293.0,33293.0,12185.0,12185.0,18779.0,18779.0
2020,568,1069000.0,1069000.0,3.264826941066417,4.831524789522918,2.756782039289055,1.5154349859681946,0.40056127221702525,0.9708138447146866,0.5673526660430308,0.5124415341440598,0.05846585594013096,1.5154349859681946,0.23582787652011225,0.09466791393826005,0.045369504209541625,0.40324667822068166,0.5844093274233957,0.527847369435344,0.06022354981692041,0.5497115710892433,86550.0,86550.0,29470.0,29470.0,10378.0,10378.0,16200.0,16200.0
2021,574,1076405.0,1076405.0,3.292719747678615,4.977401628569172,2.6540196301577934,1.519502417770263,0.33760526939209684,0.9777918162773305,0.5685592318876259,0.47417096724745794,0.0490521690255991,1.519502417770263,0.19685898894932669,0.08491227744204086,0.04645091763787793,0.3981464839361941,0.5814726840855107,0.48494061757719714,0.05016627078384798,0.5725287034444133,89020.0,89020.0,28568.0,28568.0,10525.0,10524.0,16356.0,16356.0
2022,641,1213505.0,1213505.0,3.2380583516343155,4.996765567508993,2.6466310398391437,1.5469239928966094,0.3360513553714241,0.9554142751780998,0.548823449429545,0.4323838797532767,0.056860087103060966,1.5469239928966094,0.22299042855200432,0.10424349302227844,0.04194461497892468,0.3932152506754728,0.5744350526134208,0.452561669829222,0.059513541486976025,0.5844879658747704,99930.0,99930.0,32117.0,32117.0,11594.0,11594.0,18772.0,18772.0
2023,578,1227945.0,1227945.0,3.3373644585058773,5.071806962038202,2.690674256583153,1.4604074286714794,0.3841377260382183,0.9322893126320804,0.544568364218267,0.4176082805011625,0.05309684065654406,1.4604074286714794,0.2361669293005794,0.0976428097349637,0.04935074453660383,0.39687197365872556,0.5841194968553459,0.4479385045422781,0.05695317959468903,0.5427663438256659,103260.0,103260.0,33040.0,33040.0,11448.0,11448.0,17933.0,17933.0
2024,608,1218155.0,1218155.0,3.1300614453825664,5.386014095086422,2.6051692929060755,1.5094138266476762,0.31769356116421965,1.038373605986102,0.6082969737020331,0.445920264662543,0.06345662087336998,1.5094138266476762,0.22443777680180274,0.08397946074185962,0.05491911948807828,0.367547402616181,0.5858170606372045,0.4294410625345877,0.061111550320183415,0.5793918386639357,103739.0,103739.0,31735.0,31735.0,12649.0,12649.0,18387.0,18387.0
2025,606,1223500.0,1223500.0,3.044871270944013,5.338128320392317,2.714997956681651,1.6496935022476502,0.2787086228034328,0.9803841438496117,0.5726195341234164,0.4138128320392317,0.06685737637923989,1.6496935022476502,0.23874131589701675,0.07928075194115243,0.047159787494891706,0.36321978043406195,0.5840766986244268,0.4220925385577324,0.06819508128386828,0.6076223734120055,102566.0,102566.0,33218.0,33218.0,11995.0,11995.0,20184.0,20184.0
2026,615,1229155.0,1229155.0,3.0464017963560335,5.351806729013021,2.7609211206072466,1.685141418291428,0.2923146389186067,0.9663549348942974,0.5641273883277537,0.408980153031961,0.06085481489315831,1.685141418291428,0.2837721849563318,0.08656353348438561,0.050197086616415344,0.3627442432696872,0.5837683111634956,0.42321939720491664,0.06297356457316046,0.6103547854785478,103227.0,103227.0,33936.0,33936.0,11878.0,11907.0,20713.0,20713.0
