system,base,k,held_out,map_o,map_d,scale_o,scale_d,o0,d0,o1,d1,o2,o3,o4,d2,d3,d4
mspi_linear+log,mspi,2,2019,linear+log,linear+log,1.2681,1.40715,0.85781,0.92108,0.76663,-0.62091,,,,,,
mspi_linear+log,mspi,2,2020,linear+log,linear+log,1.2681,1.40715,0.85839,0.91327,0.76604,-0.63124,,,,,,
mspi_linear+log,mspi,2,2021,linear+log,linear+log,1.2681,1.40715,0.84806,0.92445,0.74644,-0.61615,,,,,,
mspi_linear+log,mspi,2,2022,linear+log,linear+log,1.2681,1.40715,0.86338,0.92195,0.74085,-0.57707,,,,,,
mspi_linear+log,mspi,2,2023,linear+log,linear+log,1.2681,1.40715,0.86089,0.92151,0.7557,-0.62901,,,,,,
mspi_linear+log,mspi,2,2024,linear+log,linear+log,1.2681,1.40715,0.86394,0.91775,0.71494,-0.62756,,,,,,
mspi_linear+log,mspi,2,2025,linear+log,linear+log,1.2681,1.40715,0.85685,0.92475,0.7447,-0.6245,,,,,,
mspi_linear+log,mspi,2,-1,linear+log,linear+log,1.2681,1.40715,0.85918,0.92092,0.74654,-0.62825,,,,,,
mspi_linear+log2,mspi,2,1998,linear+log2,linear+log2,1.2681,1.40715,0.89537,0.93921,1.97295,-2.7593,-0.42069,,,0.70194,,
mspi_linear+log2,mspi,2,1999,linear+log2,linear+log2,1.2681,1.40715,0.89425,0.93619,1.89149,-2.74354,-0.3896,,,0.69653,,
mspi_linear+log2,mspi,2,2000,linear+log2,linear+log2,1.2681,1.40715,0.89725,0.9382,1.94239,-2.72249,-0.40827,,,0.68759,,
mspi_linear+log2,mspi,2,2001,linear+log2,linear+log2,1.2681,1.40715,0.89113,0.93993,1.8304,-2.77121,-0.37194,,,0.70935,,
mspi_linear+log2,mspi,2,2002,linear+log2,linear+log2,1.2681,1.40715,0.8953,0.93749,1.88832,-2.65051,-0.39503,,,0.66104,,
mspi_linear+log2,mspi,2,2003,linear+log2,linear+log2,1.2681,1.40715,0.90719,0.94073,1.83046,-2.80065,-0.38591,,,0.70839,,
mspi_linear+log2,mspi,2,2004,linear+log2,linear+log2,1.2681,1.40715,0.88591,0.9319,1.91772,-2.79678,-0.39211,,,0.71349,,
mspi_linear+log2,mspi,2,2005,linear+log2,linear+log2,1.2681,1.40715,0.89858,0.93661,1.90198,-2.72397,-0.40271,,,0.69471,,
mspi_linear+log2,mspi,2,2006,linear+log2,linear+log2,1.2681,1.40715,0.89491,0.92875,1.93407,-2.67371,-0.40752,,,0.67007,,
mspi_linear+log2,mspi,2,2007,linear+log2,linear+log2,1.2681,1.40715,0.89963,0.93535,1.92262,-2.70928,-0.40196,,,0.6885,,
mspi_linear+log2,mspi,2,2008,linear+log2,linear+log2,1.2681,1.40715,0.88916,0.93207,1.97201,-2.72406,-0.42022,,,0.69105,,
mspi_linear+log2,mspi,2,2009,linear+log2,linear+log2,1.2681,1.40715,0.90014,0.93333,1.74153,-2.80408,-0.34278,,,0.71631,,
mspi_linear+log2,mspi,2,2010,linear+log2,linear+log2,1.2681,1.40715,0.88971,0.9394,1.94993,-2.75911,-0.40327,,,0.70505,,
mspi_linear+log2,mspi,2,2011,linear+log2,linear+log2,1.2681,1.40715,0.89422,0.93622,1.88454,-2.70927,-0.38681,,,0.69144,,
mspi_linear+log2,mspi,2,2012,linear+log2,linear+log2,1.2681,1.40715,0.89932,0.93706,1.84931,-2.77261,-0.38175,,,0.7065,,
mspi_linear+log2,mspi,2,2013,linear+log2,linear+log2,1.2681,1.40715,0.88418,0.93922,1.95191,-2.82202,-0.40089,,,0.72382,,
mspi_linear+log2,mspi,2,2014,linear+log2,linear+log2,1.2681,1.40715,0.89766,0.94916,1.83264,-2.68163,-0.37077,,,0.68486,,
mspi_linear+log2,mspi,2,2015,linear+log2,linear+log2,1.2681,1.40715,0.88742,0.94872,1.89408,-2.80477,-0.39327,,,0.72258,,
mspi_linear+log2,mspi,2,2016,linear+log2,linear+log2,1.2681,1.40715,0.90066,0.94152,1.93143,-2.67457,-0.40504,,,0.68411,,
mspi_linear+log2,mspi,2,2017,linear+log2,linear+log2,1.2681,1.40715,0.88433,0.93726,1.86682,-2.7132,-0.377,,,0.68095,,
mspi_linear+log2,mspi,2,2018,linear+log2,linear+log2,1.2681,1.40715,0.89769,0.93564,2.03869,-2.90258,-0.43435,,,0.73777,,
mspi_linear+log2,mspi,2,2019,linear+log2,linear+log2,1.2681,1.40715,0.89462,0.93694,1.92909,-2.72396,-0.39857,,,0.69444,,
mspi_linear+log2,mspi,2,2020,linear+log2,linear+log2,1.2681,1.40715,0.89223,0.92975,1.91609,-2.76583,-0.39141,,,0.70303,,
mspi_linear+log2,mspi,2,2021,linear+log2,linear+log2,1.2681,1.40715,0.88068,0.94077,1.82012,-2.68521,-0.36602,,,0.6818,,
mspi_linear+log2,mspi,2,2022,linear+log2,linear+log2,1.2681,1.40715,0.90416,0.93587,2.10438,-2.52223,-0.46448,,,0.63762,,
mspi_linear+log2,mspi,2,2023,linear+log2,linear+log2,1.2681,1.40715,0.89462,0.93747,1.88707,-2.77404,-0.38593,,,0.70775,,
mspi_linear+log2,mspi,2,2024,linear+log2,linear+log2,1.2681,1.40715,0.89452,0.93416,1.72846,-2.68285,-0.34652,,,0.67995,,
