target,off,dfn,mult,mult_d,lam,lam_d,n_train,season,n,sd_prior_o,sd_resid_o,sd_rating_o,share_o,corr_o,corr_pr_o,sd_prior_d,sd_resid_d,sd_rating_d,share_d,corr_d,corr_pr_d
ship,xpts_ft,x3def,0.125,0.5,1431.548216825,5726.1928673,3,2019,414,1.4097070199117694,1.5889053714307868,2.2422993034243794,0.502121598124627,0.6679239245168057,0.10303445203072993,0.8205862755210838,0.6398017323590744,1.1531304150846464,0.30784632167943726,0.8394414048298958,0.2035873560124688
ship,xpts_ft,x3def,0.125,0.5,1431.548216825,5726.1928673,3,2024,425,1.5260526732855422,1.6413739778105647,2.3471961470737166,0.4890084013660676,0.6966665761798032,0.10748591607178017,0.7629057241998263,0.6885821051020381,1.18692563401982,0.3365615083100308,0.8381776571578363,0.31481964209865776
ship,xpts_ft,x3def,0.25,0.03125,2863.09643365,357.88705420625,3,2014,390,1.4292895356984179,1.1357182631879268,2.0558564479938273,0.30517970330504807,0.8396177782769403,0.2977129286782827,0.855469437770192,2.279444948637196,2.6907581319117826,0.7176437269062773,0.5748021554892381,0.30976662808911737
ship,xpts_ft,x3def,0.25,0.03125,2863.09643365,357.88705420625,3,2019,414,1.4097070199117694,1.122434257371627,1.9322424357258636,0.3374415790567772,0.7919763209986009,0.1387484607224127,0.8205862755210838,2.0799195037589033,2.435976326640453,0.7290325646654576,0.512989545213713,0.2204406200069418
ship,xpts_ft,x3def,0.25,0.03125,2863.09643365,357.88705420625,3,2024,425,1.5260526732855422,1.1847855273901713,2.0499188566242497,0.33404589571004467,0.8082783207045882,0.13493364757014809,0.7629057241998263,2.2433309795840652,2.6594627768471595,0.7115392725961024,0.6062969875479565,0.3859333668448502
ship,xpts_ft,x3def,0.25,0.0625,2863.09643365,715.7741084125,3,2014,390,1.4292895356984179,1.1348447918435305,2.054282543442547,0.3051775529892531,0.8394619109835679,0.2966505850165034,0.855469437770192,1.852258432638434,2.2717057382791035,0.6648122467954773,0.6116466001398564,0.2917189734443273
ship,xpts_ft,x3def,0.25,0.0625,2863.09643365,715.7741084125,3,2019,414,1.4097070199117694,1.1219564482887763,1.930658221946937,0.33770788443227256,0.7914376048270043,0.13673339786225885,0.8205862755210838,1.688402871110991,2.0607279808468526,0.671291005043925,0.564554433795545,0.21363632418602455
ship,xpts_ft,x3def,0.25,0.0625,2863.09643365,715.7741084125,3,2024,425,1.5260526732855422,1.1856962786991656,2.050781637457095,0.33427821419651127,0.8078709807179433,0.13545932613140202,0.7629057241998263,1.836396768225827,2.25798554360332,0.6614404119291505,0.6377517106885183,0.37136748920214724
ship,xpts_ft,x3def,0.25,0.125,2863.09643365,1431.548216825,3,2014,390,1.4292895356984179,1.1339283425561617,2.0528657832897257,0.30510555100770625,0.8393174041184377,0.29567416279720815,0.855469437770192,1.4231390847161078,1.8614619975416995,0.5845024603981702,0.6687149800140391,0.2712555447871783
ship,xpts_ft,x3def,0.25,0.125,2863.09643365,1431.548216825,3,2019,414,1.4097070199117694,1.1220698185826798,1.929603544849747,0.3381454789014021,0.7908179887851366,0.1348617259918655,0.8205862755210838,1.2863884106367847,1.6893537350777827,0.5798331550540903,0.6420890287218675,0.20822074435199933
