player,context,prior_o,rating_o,prior_d,rating_d
Trae Young,LAC,3.7437519904275267,4.064953947754558,-1.1100880476892283,-2.289339883211354
Shai Gilgeous-Alexander,LAL,5.320124221092206,7.083487225651684,0.30691818016284944,1.7575808322397868
Nikola Jokić,LAL,3.7584050707630072,6.857814006795101,1.067763850696291,1.5099667154064096
Draymond Green,LAL,-0.10292400519167089,-0.7925802462111277,1.9770905680759672,3.331208495327627
Trae Young,LAL,3.7040705716220814,4.036071538213991,-1.1100880476892283,-2.2899143828334334
Shai Gilgeous-Alexander,MIA,5.01476936611003,6.9677707141726195,0.30691818016284944,1.7789521268876416
Nikola Jokić,MIA,4.073646468659611,7.008866382162306,1.067763850696291,1.536062412595848
Draymond Green,MIA,0.45538491246803536,-0.5469136849479692,1.9770905680759672,3.3344060894160883
Trae Young,MIA,4.01198630881943,4.229725899507194,-1.1100880476892283,-2.265640291294386
Shai Gilgeous-Alexander,MIL,5.362943978187769,7.121525245118678,0.30691818016284944,1.7635673480615353
Nikola Jokić,MIL,3.7644274438223793,6.838347916837007,1.067763850696291,1.5147616058473716
Draymond Green,MIL,-0.016457675953455597,-0.7333385675531638,1.9770905680759672,3.3305499997814363
Trae Young,MIL,3.823684029798158,4.110029684705486,-1.1100880476892283,-2.2849964658402193
Shai Gilgeous-Alexander,MIN,4.962364478801418,6.822225609573693,0.30691818016284944,1.7379792879075335
Nikola Jokić,MIN,3.419383257108863,6.687641655594124,1.067763850696291,1.4899345643640434
Draymond Green,MIN,-0.47217971035186057,-0.9449485199264183,1.9770905680759672,3.31095516774948
Trae Young,MIN,3.4704543905033614,3.8750718963045694,-1.1100880476892283,-2.307931116502667
Shai Gilgeous-Alexander,BKN,5.143093901006192,7.144970278381744,0.30691818016284944,1.8061470013204168
Nikola Jokić,BKN,4.635463951831045,7.2346687096528495,1.067763850696291,1.5666867533331352
Draymond Green,BKN,0.8331954153102312,-0.3991946214278794,1.9770905680759672,3.3401908373332097
Trae Young,BKN,4.0081349984273285,4.248045165764456,-1.1100880476892283,-2.249173358267486
Shai Gilgeous-Alexander,NYK,4.927402436251712,6.79642265583376,0.30691818016284944,1.7361422657784829
Nikola Jokić,NYK,3.390496486692565,6.672271748386997,1.067763850696291,1.4930791310666178
Draymond Green,NYK,-0.499097622650049,-0.9638189101040026,1.9770905680759672,3.3123880089613986
Trae Young,NYK,3.414621238438465,3.833620880813651,-1.1100880476892283,-2.307062865879452
Shai Gilgeous-Alexander,ORL,4.939757530481088,6.92009227135121,0.30691818016284944,1.777267028304946
Nikola Jokić,ORL,3.8491388499285026,6.870601227799412,1.067763850696291,1.5334276266624576
Draymond Green,ORL,0.5119412048903078,-0.49117065040153984,1.9770905680759672,3.333211707297475
Trae Young,ORL,3.870023767275393,4.139815160941798,-1.1100880476892283,-2.2687091972222273
Shai Gilgeous-Alexander,IND,5.414905834827437,7.185131240297224,0.30691818016284944,1.772598358528294
Nikola Jokić,IND,4.251472684012862,7.125558253610718,1.067763850696291,1.5252103429168702
Draymond Green,IND,0.11201148305282738,-0.7356517038321807,1.9770905680759672,3.3325167286063317
Trae Young,IND,3.9767170568899726,4.2101713801263925,-1.1100880476892283,-2.2797741415369943
Shai Gilgeous-Alexander,PHI,5.426412713204796,7.215467498886491,0.30691818016284944,1.7773045176936901
Nikola Jokić,PHI,4.3032327656687706,7.117552007860917,1.067763850696291,1.5320903369847765
Draymond Green,PHI,0.26350938276203895,-0.6734230610719456,1.9770905680759672,3.3328068973759697
Trae Young,PHI,4.1202149032961035,4.297359112271701,-1.1100880476892283,-2.274546793188213
Shai Gilgeous-Alexander,PHX,5.374758217851115,7.14458163876589,0.30691818016284944,1.7666473293382778
Nikola Jokić,PHX,4.052383061339266,7.0118675317200445,1.067763850696291,1.5220335763038266
Draymond Green,PHX,0.04472358694110756,-0.7282637716228586,1.9770905680759672,3.3310427133613265
Trae Young,PHX,3.8572811680716166,4.129560212825335,-1.1100880476892283,-2.2836310652068823
Shai Gilgeous-Alexander,POR,5.015111390987237,6.998288977746148,0.30691818016284944,1.7859718237064777
Nikola Jokić,POR,4.150902710797777,7.018801831312513,1.067763850696291,1.547062606753067
Draymond Green,POR,0.6340779331084183,-0.4671458078673332,1.9770905680759672,3.3362646954874715
Trae Young,POR,3.9647687680493204,4.212486114900628,-1.1100880476892283,-2.2608325975157273
Shai Gilgeous-Alexander,SAC,5.168786993614942,6.9791429674863075,0.30691818016284944,1.7483426812428537
Nikola Jokić,SAC,3.6537145471745918,6.8166235782819395,1.067763850696291,1.4992856264047392
Draymond Green,SAC,-0.23009542313817422,-0.8256776067895982,1.9770905680759672,3.31762503933108
Trae Young,SAC,3.5360394045382115,3.926335192295922,-1.1100880476892283,-2.297710898095331
Shai Gilgeous-Alexander,SAS,5.289984075801939,7.067861902562332,0.30691818016284944,1.760090104768742
Nikola Jokić,SAS,3.81505142132732,6.884833164762256,1.067763850696291,1.5104978980163446
Draymond Green,SAS,-0.081354021455595,-0.7742026056423428,1.9770905680759672,3.3261419739562923
Trae Young,SAS,3.76964489986993,4.074588763675346,-1.1100880476892283,-2.290744951423334
Shai Gilgeous-Alexander,OKC,4.9201801583004565,6.8521066737333385,0.30691818016284944,1.7651802916527575
Nikola Jokić,OKC,3.9780844496167607,6.971605445798035,1.067763850696291,1.5242817808023783
Draymond Green,OKC,0.034318350762458705,-0.7457968351750077,1.9770905680759672,3.333303652587701
Trae Young,OKC,3.7817485234961072,4.074588709521983,-1.1100880476892283,-2.285272181773075
Shai Gilgeous-Alexander,TOR,4.944660224448889,6.9369367630523975,0.30691818016284944,1.7815117328260168
Nikola Jokić,TOR,4.038344083812951,6.967954876332465,1.067763850696291,1.5404171045400408
Draymond Green,TOR,0.563002350581552,-0.4938947694619602,1.9770905680759672,3.334613742110367
