player_id,window,p_lo,p_hi,delta
1043,1997-1999,-0.24755546414847995,-0.03541015985059428,0.21214530429788567
1051,1997-1999,-1.923904778895638,-1.4211620193968142,0.5027427594988239
1065,1997-1999,0.34724629567923443,0.5640362976596931,0.21679000198045867
1073,1997-1999,-0.0744175141620063,0.36895598051370615,0.44337349467571247
1074,1997-1999,0.390164657906481,0.7945931383358076,0.40442848042932655
1108,1997-1999,-0.5546343278742848,-0.20834824826932458,0.3462860796049602
1110,1997-1999,-0.10014510432584219,0.1388189744046625,0.23896407873050468
1112,1997-1999,-1.5203254847162482,-1.064187654924611,0.4561378297916372
1114,1997-1999,0.004764194712503252,0.48431907988816286,0.4795548851756596
1134,1997-1999,-0.5502632560307896,-0.152411261057586,0.3978519949732036
1425,1997-1999,-0.5963279026052649,-0.4161112080899592,0.1802166945153057
1444,1997-1999,0.2731187695252116,0.7155138489251734,0.44239507939996187
1477,1997-1999,-1.1691378641975398,-0.7268097554446027,0.44232810875293715
1495,1997-1999,-1.8020616389596025,-1.644013841563212,0.15804779739639052
1496,1997-1999,-0.34037883708686645,-0.07696396195490415,0.26341487513196227
1497,1997-1999,0.19670215548344572,0.377117675703494,0.1804155202200483
1498,1997-1999,0.9100154621562148,1.1454690559635756,0.23545359380736086
1499,1997-1999,-1.262298177547982,-1.1292454704339383,0.1330527071140437
1500,1997-1999,0.2876134647122254,0.5406244697031799,0.2530110049909545
1501,1997-1999,0.15869967303529178,0.3400391408348359,0.1813394677995441
1502,1997-1999,-1.3232185088796726,-1.0552671202146733,0.26795138866499935
1503,1997-1999,-0.19563423475667666,-0.13359740836198902,0.06203682639468763
1504,1997-1999,-0.549575875540456,-0.27288712848648794,0.276688747053968
1505,1997-1999,-0.02214436292574891,0.20662301404805591,0.22876737697380484
1506,1997-1999,-0.20002599097910506,0.07142635221514217,0.2714523431942472
1507,1997-1999,0.17489698082687907,0.32160636043706675,0.14670937961018768
1508,1997-1999,0.019944530773861324,0.3886505533167841,0.3687060225429228
1509,1997-1999,-1.5919402657276402,-1.3468454362421474,0.24509482948549288
1510,1997-1999,-1.3649287005762811,-1.2346437898760134,0.1302849107002677
1512,1997-1999,-0.8059266333193702,-0.6352891339309187,0.17063749938845152
1513,1997-1999,-0.7322538028312893,-0.5685350086349875,0.16371879419630175
1515,1997-1999,0.06986078966417886,0.16727078563384515,0.09740999596966629
1517,1997-1999,0.10749432563734289,0.3093328471023094,0.2018385214649665
