season,side,component,n_tg,att,p,tau2,tau2_plain,tau2_half,tau2_mom,bias_exact,k_loo,k_half,k_mom,k,shrink_mean
1998,def,fg2,2378,159016.0,0.47027972027972026,0.00033950735701874656,0.0003216737806046298,0.0003072369707024631,0.0003184715642575634,-4.707477725814822e-05,721.4971018894354,797.278965480972,769.1536754002366,769.1536754002366,0.08114651587823175
1998,def,ft,2378,60629.0,0.735093767009187,5.7550737607115783e-05,5.4789523723228176e-05,7.645810405582015e-05,7.007677018173622e-05,-0.00011189058861087367,3222.796953105527,2425.829728576296,2646.7307401323087,2646.7307401323087,0.010475825880832948
1999,off,fg3,1450,19046.0,0.33870629003465297,0.0004574664147959464,0.0003985868376091355,0.00033590838796603695,0.0003662237389930929,-0.0003355236175848207,451.7796845431585,615.2690434943792,564.3381642430894,564.3381642430894,0.0259423349638254
1999,off,fg2,1450,94216.0,0.4569499872633098,0.00032129593343054345,0.0002884703109494796,0.0003104567125313212,0.0002887766308634428,-8.135298357450554e-05,758.8063639692712,785.2991710718678,844.2559852422162,844.2559852422162,0.0725857326159913
1999,off,ft,1450,36459.0,0.726240434460627,0.0007342232175359079,0.0007286787701102362,0.0006438558334426837,0.0007184308330691305,-0.0001801950027358193,257.71881258543635,293.890535687532,263.38392937236983,263.38392937236983,0.09483320275769644
1999,def,fg3,1450,19046.0,0.33870629003465297,9.047364858777719e-06,-5.232477248092003e-05,2.9196204942082886e-05,9.239445502558527e-07,-0.00035049933901378703,22843.561168541582,7078.797842924651,223686.6189733697,223686.6189733697,6.739056513592278e-05
1999,def,fg2,1450,94216.0,0.4569499872633098,0.00038781563545809404,0.0003575193779331523,0.00031251767705954943,0.00035526158474656773,-7.966806131932776e-05,628.6528358160742,780.1203480662246,686.2588286275416,686.2588286275416,0.0878076746114437
1999,def,ft,1450,36459.0,0.726240434460627,4.472423961269624e-05,2.9850601077142375e-05,1.9030783428236057e-05,6.452748249755305e-05,-0.00019599456860827852,4230.8854758549405,9943.002951484463,2932.4425573737244,2932.4425573737244,0.009393529884346821
2000,off,fg3,2378,32589.0,0.35294117647058826,0.00030721289792071,0.00027429880695004674,0.00026020327516343086,0.0002514851301793338,-0.0001995997124249384,688.9091866363864,813.3709596769435,841.5677995746388,841.5677995746388,0.018347108365533663
2000,off,fg2,2378,162522.0,0.46785665940611115,0.00019209522894261753,0.00017423433998549912,0.00018466184486773618,0.0001744042754446244,-4.723644336549171e-05,1275.1371358641845,1326.4665487475643,1404.4825416269005,1404.4825416269005,0.04702472888886206
2000,off,ft,2378,58477.0,0.7483797048412196,0.0008517774510980892,0.0008433603078814789,0.0007956433004375292,0.0008152056928281064,-0.00010314912365280856,210.11807859056614,224.9423093402302,219.54439595558455,219.54439595558455,0.10929490209735822
2000,def,fg3,2378,32589.0,0.35294117647058826,0.0001243463895000471,9.591347195887013e-05,6.306079065280162e-05,8.536455878062849e-05,-0.0001994442201919472,1702.0340396026004,3356.1549964702335,2479.269976368586,2479.269976368586,0.006313195674361721
2000,def,fg2,2378,162522.0,0.46785665940611115,0.0002740751481369927,0.00025598369579134695,0.0002356608083365084,0.0002539608288022908,-4.617957974363068e-05,893.7248112865393,1039.408129744232,964.510004169803,964.510004169803,0.06701972900566046
2000,def,ft,2378,58477.0,0.7483797048412196,2.8959112196192205e-05,2.5676728058702247e-05,6.120134492207169e-06,4.3787520080768944e-05,-0.00011372931016950852,6180.225422623054,29243.449084230037,4087.3253630571326,4087.3253630571326,0.0066085646041603415
2001,off,fg3,2378,32581.0,0.3536110002762346,0.0003468504342558139,0.0003133323246152905,0.00034553196971058033,0.0002894960171895421,-0.0002014326915550019,610.780846336668,613.1114349981953,731.7876212725313,731.7876212725313,0.02069463723640759
2001,off,fg2,2378,159001.0,0.4610411255275124,0.00023733664440303635,0.00021935052721591214,0.0001962672461198905,0.00021744273863383832,-4.6713141549906634e-05,1029.8629851069588,1245.364317848901,1124.0854793122194,1124.0854793122194,0.05691973607758195
2001,off,ft,2378,57149.0,0.7447899350819787,0.0006503553487562876,0.0006507154692147667,0.0005655207695978633,0.0006358066143983262,-0.00011179909726024413,277.4994732713389,319.1275659909018,283.8493067421961,283.8493067421961,0.08486601739052835
2001,def,fg3,2378,32581.0,0.3536110002762346,4.214940684981875e-05,6.351596135285323e-06,6.334699968973162e-05,8.870964958258838e-06,-0.0002066200567007137,5026.15855406558,3344.2720701000635,23881.23533165077,23881.23533165077,0.0006484919382355178
2001,def,fg2,2378,159001.0,0.4610411255275124,0.0002132187730160063,0.00019459014890490966,0.00019058479376677702,0.00019360160162519119,-4.7279112272489414e-05,1146.354148946495,1282.495944452354,1262.511379184663,1262.511379184663,0.05100141616668919
2001,def,ft,2378,57149.0,0.7447899350819787,2.944837962046945e-05,2.371420522157448e-05,3.8155644027312555e-05,4.625914860623641e-05,-0.00012120347910314176,6128.461702986927,4729.923221578475,3901.3529681507644,3901.3529681507644,0.006746885412311016
2002,off,fg3,2378,35032.0,0.35359100251198905,0.0002739760243941853,0.00023116985493531485,0.0002825979917567961,0.00021723650309574493,-0.00019043357408879644,776.7161380759318,753.0187963118506,979.58490658938,979.58490658938,0.016955772244462698
2002,off,fg2,2378,158004.0,0.4652793600162021,0.0001762263584586958,0.00016051243581796732,0.0001722732374095901,0.00015682962820087656,-4.420879980795994e-05,1390.4657789496068,1422.372531394028,1562.4389574645024,1562.4389574645024,0.04135593089525477
2002,off,ft,2378,54480.0,0.7504221732745961,0.0004951604578331914,0.0004892022576392846,0.0004775499185743732,0.0004758381420453481,-0.00010886123800322124,359.50980537853724,372.76739646021764,374.10838706955303,374.10838706955303,0.06323653884890677
2002,def,fg3,2378,35032.0,0.35359100251198905,7.854961881336318e-05,3.5823826425641597e-05,5.863665277838802e-06,3.946565216082599e-05,-0.0001954879151432297,2709.135993370934,36291.56670949712,5392.071027374986,5392.071027374986,0.003128807216305636
2002,def,fg2,2378,158004.0,0.4652793600162021,0.00015093301659242347,0.000135430351939522,0.0001409171586817438,0.00013241248089095408,-4.4493195511835816e-05,1623.4799139237732,1738.8707172213815,1850.55607399667,1850.55607399667,0.035146447255159134
