window,window_mid,player_id,player_name,poss_off,poss_def,shrinkage,prior_off,prior_def,prior_total,boost_off,boost_def,boost_total,u_off,u_def,u_total,u_plain_off,u_plain_def,u_plain_total,rapm_mm_off,rapm_mm_def,rapm_mm_total,rating_off,rating_def,rating_total,rating_off_raw,rating_def_raw,key,player_name_con,team,adj_offense,adj_defense,adj_overall,z_ours_total,z_con_total,d_total,rk_ours_total,rk_con_total,dr_total,z_ours_off,z_con_off,d_off,rk_ours_off,rk_con_off,dr_off,z_ours_def,z_con_def,d_def,rk_ours_def,rk_con_def,dr_def,bigness,minutes,orb,blk,drb,ast,fg3m,archetype,mins_bucket
2024-2026,2025.0,1628380,Zach Collins,5637.0,5614.0,0.33,-1.299,0.126,-1.172,-1.156,0.267,-0.89,-0.686,0.52,-0.167,-1.337,0.197,-1.139,-2.635,0.323,-2.312,-1.315,0.727,-0.588,-1.985,0.646,zach collins,Zach Collins,Chicago Bulls,-1.7,-0.1,-1.8,0.016,-0.576,0.591,241.0,332.0,91.0,-0.665,-0.649,-0.017,347.0,352.0,5.0,0.635,-0.122,0.757,119.0,243.0,124.0,3.539,2694.0,3.154,1.136,6.388,4.276,1.323,big,2000-3000
2024-2026,2025.0,1626166,Cameron Payne,5680.0,5683.0,0.332,0.115,-0.665,-0.55,-0.513,0.067,-0.446,0.146,0.262,0.409,0.043,0.228,0.271,0.158,-0.437,-0.28,0.103,-0.386,-0.282,0.261,-0.403,cameron payne,Cameron Payne,Philadelphia 76ers,-1.2,0.3,-0.9,0.154,-0.206,0.36,213.0,254.0,41.0,0.416,-0.393,0.81,144.0,296.5,152.5,-0.144,0.244,-0.388,258.0,177.0,-81.0,-2.4,2768.0,0.494,0.442,2.952,6.061,2.978,guard,2000-3000
2024-2026,2025.0,1631246,Vince Williams Jr.,5685.0,5696.0,0.332,-0.993,-0.257,-1.25,0.269,0.07,0.339,0.341,0.048,0.389,-0.106,0.017,-0.089,-1.098,-0.241,-1.339,-0.462,-0.18,-0.642,-0.652,-0.209,vince williams,Vince Williams Jr.,Utah Jazz,-1.0,0.7,-0.3,-0.009,0.04,-0.049,245.0,206.0,-39.0,-0.015,-0.291,0.276,211.0,279.0,68.0,0.0,0.61,-0.61,234.0,125.0,-109.0,0.546,2762.0,1.564,0.743,5.513,5.161,2.085,wing,2000-3000
2024-2026,2025.0,1627780,Gary Payton II,5691.0,5726.0,0.332,0.55,0.529,1.079,0.128,0.006,0.134,0.399,0.497,0.896,1.155,0.838,1.993,1.706,1.366,3.072,0.543,1.131,1.674,0.949,1.025,gary payton,Gary Payton II,Golden State Warriors,1.1,0.2,1.3,1.042,0.697,0.344,64.0,111.0,47.0,0.752,0.783,-0.031,91.0,86.5,-4.5,0.918,0.153,0.765,84.0,191.5,107.5,2.654,2750.0,2.618,0.733,4.752,3.325,1.152,big,2000-3000
2024-2026,2025.0,1642263,Reed Sheppard,5695.0,5701.0,0.332,0.606,0.174,0.781,-0.745,-0.254,-0.999,-0.545,-0.866,-1.411,-0.185,-0.431,-0.616,0.421,-0.256,0.165,-0.254,-0.691,-0.945,0.061,-0.692,reed sheppard,Reed Sheppard,Houston Rockets,-1.0,-0.3,-1.3,-0.146,-0.37,0.224,264.0,286.5,22.5,0.144,-0.291,0.435,180.0,279.0,99.0,-0.358,-0.305,-0.053,297.0,280.0,-17.0,-1.148,2804.0,0.565,0.912,3.492,4.519,3.531,guard,2000-3000
2024-2026,2025.0,1642262,Cody Williams,5724.0,5758.0,0.333,-2.029,-0.459,-2.489,0.249,-0.111,0.138,-0.87,-0.351,-1.221,-1.505,-0.449,-1.954,-3.535,-0.908,-4.443,-2.107,-0.815,-2.922,-2.899,-0.81,cody williams,Cody Williams,Utah Jazz,-2.9,-1.5,-4.4,-1.043,-1.643,0.6,401.0,464.5,63.5,-1.27,-1.262,-0.008,448.0,443.0,-5.0,-0.444,-1.404,0.959,310.0,448.0,138.0,0.988,2685.0,1.18,0.563,2.99,2.628,0.845,wing,2000-3000
2024-2026,2025.0,1642345,Oso Ighodaro,5736.0,5749.0,0.334,-0.827,0.5,-0.328,1.054,0.223,1.277,0.084,0.974,1.058,0.265,1.011,1.276,-0.562,1.511,0.948,-0.756,1.607,0.851,-0.743,1.473,oso ighodaro,Oso Ighodaro,Phoenix Suns,-0.6,1.6,1.0,0.668,0.574,0.095,110.0,124.0,14.0,-0.239,-0.086,-0.153,263.0,221.5,-41.5,1.251,1.434,-0.184,52.0,39.0,-13.0,3.696,2852.0,2.575,1.086,5.504,3.231,0.0,big,2000-3000
2024-2026,2025.0,1629111,Jock Landale,5741.0,5773.0,0.334,-0.586,0.061,-0.525,0.33,0.382,0.713,0.353,0.18,0.533,0.383,0.129,0.512,-0.204,0.191,-0.013,-0.2,0.301,0.101,-0.234,0.241,jock landale,Jock Landale,Atlanta Hawks,0.7,-1.2,-0.5,0.328,-0.042,0.37,182.0,222.0,40.0,0.185,0.578,-0.393,173.0,108.0,-65.0,0.337,-1.129,1.466,171.0,418.0,247.0,4.811,2770.0,4.25,1.027,4.796,2.82,1.235,big,2000-3000
2024-2026,2025.0,1641842,Ronald Holland II,5805.0,5799.0,0.336,-1.575,-0.077,-1.652,-0.42,-0.077,-0.496,-0.109,1.201,1.092,-0.539,1.318,0.779,-2.114,1.241,-0.873,-1.341,1.238,-0.103,-1.684,1.124,ronald holland,Ronald Holland II,Detroit Pistons,-2.0,2.5,0.5,0.235,0.369,-0.133,193.0,151.0,-42.0,-0.686,-0.802,0.117,351.0,389.5,38.5,0.992,2.258,-1.266,77.0,11.0,-66.0,2.14,2811.0,1.575,0.564,5.251,2.267,1.101,big,2000-3000
2024-2026,2025.0,1631124,Julian Strawther,5829.0,5808.0,0.337,-1.705,-0.833,-2.538,-0.406,-0.314,-0.721,-0.395,0.413,0.018,-0.849,0.366,-0.483,-2.554,-0.467,-3.021,-1.392,-0.393,-1.785,-2.101,-0.419,julian strawther,Julian Strawther,Denver Nuggets,-1.8,-0.5,-2.3,-0.527,-0.781,0.253,326.0,378.0,52.0,-0.725,-0.7,-0.025,359.0,364.5,5.5,-0.149,-0.488,0.339,259.0,318.5,59.5,-0.32,2794.0,0.438,0.374,3.646,2.461,2.487,guard,2000-3000
2024-2026,2025.0,1627824,Guerschon Yabusele,5855.0,5877.0,0.338,-1.111,-0.186,-1.296,0.304,0.081,0.385,0.24,-0.568,-0.328,-0.01,-0.856,-0.866,-1.121,-1.042,-2.163,-0.827,-0.745,-1.572,-0.871,-0.754,guerschon yabusele,Guerschon Yabusele,Chicago Bulls,-0.7,-1.2,-1.9,-0.431,-0.617,0.186,317.0,341.5,24.5,-0.294,-0.138,-0.156,277.0,236.5,-40.5,-0.395,-1.129,0.734,304.0,418.0,114.0,2.324,2897.0,2.361,0.497,5.455,2.622,2.15,big,2000-3000
2024-2026,2025.0,1628988,Aaron Holiday,5887.0,5902.0,0.34,-0.511,-0.919,-1.429,-0.202,0.568,0.366,0.201,0.915,1.116,0.039,0.758,0.796,-0.472,-0.161,-0.633,-0.246,0.049,-0.197,-0.309,-0.004,aaron holiday,Aaron Holiday,Houston Rockets,-1.4,1.0,-0.5,0.193,-0.042,0.235,202.0,222.0,20.0,0.15,-0.495,0.646,179.0,318.5,139.5,0.16,0.885,-0.725,203.0,82.0,-121.0,-1.225,2841.0,0.621,0.279,2.661,3.586,2.826,guard,2000-3000
2024-2026,2025.0,1631107,Nikola Jović,5894.0,5894.0,0.34,-1.119,-0.43,-1.549,-0.081,-0.023,-0.104,-0.066,-0.168,-0.234,-0.156,-0.385,-0.54,-1.275,-0.814,-2.089,-0.804,-0.576,-1.381,-1.186,-0.597,nikola jovic,Nikola Jovic,Miami Heat,-1.8,0.9,-0.9,-0.344,-0.206,-0.138,301.0,254.0,-47.0,-0.276,-0.7,0.424,270.0,364.5,94.5,-0.278,0.794,-1.071,282.0,92.0,-190.0,0.226,2866.0,0.955,0.553,5.64,4.057,2.361,wing,2000-3000
