component,side,n_tg,att,p,within,tau2,tau2_plain,tau2_half,tau2_mom,bias_exact,n_half,k_loo,k_plain,k_half,k_mom,k_source,k,at_floor,shrink_mean
rim,off,2378,61241.0,0.6098038895511178,0.22639452774703853,0.0004399246129895995,0.00042173006594960276,0.0003932885733650374,0.00042562462988195274,-0.00013661975835272669,29,514.6211897727824,536.8233048247808,575.644814213574,531.911247264589,mom,531.911247264589,False,0.049200317112561266
mid,off,2378,97775.0,0.382889286627461,0.23016125280635014,0.00029503249240207856,0.0002804805029626945,0.0002664589107235297,0.00027533460687652794,-7.175033622944204e-05,29,780.1217111120084,820.5962638228829,863.7776540532323,835.9328869602087,mom,835.9328869602087,False,0.04881487888976695
fg2,off,2378,159016.0,0.47027972027972026,0.2449535741591675,0.0003626452981876017,0.00034553138946461013,0.00035098074867996723,0.00034189006444223385,-4.6967380545584207e-05,29,675.4632567508139,708.9184416464022,697.911709062203,716.4688291214006,mom,716.4688291214006,False,0.0865896785300968
ft,off,2378,60629.0,0.735093767009187,0.1854743418091884,0.0006172508392578617,0.0006124993352895274,0.0005550965830682802,0.0005967141727393151,-0.00010435950804324424,29,300.4845518431202,302.8155805614303,334.129856797144,310.8261044944479,mom,310.8261044944479,False,0.08223833880751348
tov,off,2378,218711.0,0.16775105047299863,0.1377064810810149,9.290926515894622e-05,9.079628455114967e-05,9.352500557035864e-05,9.32393805906108e-05,-2.2162597312351943e-05,29,1482.1609109213277,1516.653261328536,1472.4028107907318,1476.9132978869438,mom,1476.9132978869438,False,0.05882337112171022
oreb,off,2378,110378.0,0.33110764826324085,0.21576342385899042,0.0003362883000170171,0.0003339213169787724,0.0002786298651321769,0.0003337688547076268,-6.598263215667331e-05,29,641.6025292823812,646.1504938084162,774.3729257329834,646.4456488847463,mom,646.4456488847463,False,0.06845288513906489
rim_share,off,2378,189190.0,0.32370104128125166,0.21257821516382,0.0011761694826924736,0.0011727521530628814,0.001136695213316078,0.001174274895676038,-6.30842507264138e-05,29,180.73774085447994,181.26439982107783,187.01426087971825,181.02934495711696,mom,181.02934495711696,False,0.3067761614195684
mid_share,off,2378,189190.0,0.5168084993921455,0.2404716978816963,0.0029413297461996614,0.0029386320860828453,0.002765183945732643,0.0029023935433049627,-7.680772518894795e-05,29,81.75611666539504,81.83116866536419,86.9640872365121,82.85289168879234,mom,82.85289168879234,False,0.49113357767222326
thr_share,off,2378,189190.0,0.15949045932660288,0.1297479642815495,0.001621894274781359,0.0016221502352834827,0.001510801414352836,0.0016019267295173543,-3.274757501551846e-05,29,79.99779412196291,79.98517120017252,85.88022426304656,80.99494308372104,mom,80.99494308372104,False,0.496788634996323
ftr,off,2378,216732.0,0.27974180093387224,0.19409638200273524,0.0006429498455005828,0.0006397922201525344,0.0005870279690483025,0.0006719182643850971,-8.209466960857038e-05,29,301.88417239857523,303.3740891010839,330.64247742302103,288.8690370403335,mom,288.8690370403335,False,0.24087109721313338
fg3,def,2377,30174.0,0.34546298137469345,0.20843653059541814,0.0001769068909547033,0.00013837532851099075,0.00013862709917332922,0.00012523742184349668,-0.0002136720081683091,29,1178.2273119524098,1506.3128148516926,1503.5770916248077,1664.3310563825842,mom,1664.3310563825842,False,0.008864105787568965
rim,def,2378,61241.0,0.6098038895511178,0.22639452774703853,0.0006729359454613888,0.0006637768853331022,0.0006266784112142492,0.0006542310220038706,-0.00013432119004675038,29,336.4280497630638,341.07021914965793,361.2610929238452,346.0467635019898,mom,346.0467635019898,False,0.07357177631138534
mid,def,2378,97775.0,0.382889286627461,0.23016125280635014,0.00015161689944354957,0.0001355397189363601,0.00013332530456709003,0.0001351390755603512,-7.299949062926585e-05,29,1518.0448462609831,1698.1092672504185,1726.313347295087,1703.14360855283,mom,1703.14360855283,False,0.024593327864629273
fg2,def,2378,159016.0,0.47027972027972026,0.2449535741591675,0.00033950735701874656,0.0003216737806046298,0.0003072369707024631,0.0003184715642575634,-4.707477725814822e-05,29,721.4971018894354,761.4968608841659,797.278965480972,769.1536754002366,mom,769.1536754002366,False,0.08114651587823175
ft,def,2378,60629.0,0.735093767009187,0.1854743418091884,5.7550737607115783e-05,5.4789523723228176e-05,7.645810405582015e-05,7.007677018173622e-05,-0.00011189058861087367,29,3222.796953105527,3385.2154427572805,2425.829728576296,2646.7307401323087,mom,2646.7307401323087,False,0.010475825880832948
tov,def,2378,218711.0,0.16775105047299863,0.1377064810810149,0.0002223564258272198,0.0002193157641667918,0.0002037838782092488,0.0002187409115069545,-2.053955992137649e-05,29,619.3051564339255,627.8913948761466,675.7476709694155,629.5414978950417,mom,629.5414978950417,False,0.1278461441094342
oreb,def,2378,110378.0,0.33110764826324085,0.21576342385899042,0.0003605078406979954,0.00035891490564278955,0.00036963094133956475,0.0003583020127701822,-6.62664405401985e-05,29,598.4985609223954,601.1548154361948,583.7266303439068,602.1831197397788,mom,602.1831197397788,False,0.07310890191879806
rim_share,def,2378,189190.0,0.32370104128125166,0.21257821516382,0.0010634371653913007,0.0010603939787346547,0.0010534368275577945,0.0010653821099556734,-6.452268628884252e-05,29,199.8972972564863,200.47097534209408,201.79493406989076,199.53236794323925,mom,199.53236794323925,False,0.28651891342758523
mid_share,def,2378,189190.0,0.5168084993921455,0.2404716978816963,0.0010976585799764393,0.001092094618296284,0.0010697598080313248,0.001116483291931809,-9.988546625415168e-05,29,219.07695367976618,220.19309852185043,224.79036516078833,215.38315854742189,mom,215.38315854742189,False,0.27118045709598065
thr_share,def,2378,189190.0,0.15949045932660288,0.1297479642815495,0.00013898900071657953,0.00013683819556763597,0.00013351722366604715,0.00016204969414927912,-5.0858879266519626e-05,29,933.5124622280438,948.1852909805294,971.7694895010301,800.6677517208179,mom,800.6677517208179,False,0.0911323142482634
ftr,def,2378,216732.0,0.27974180093387224,0.19409638200273524,0.0007044797036366063,0.0007036892381462811,0.0007007834005124827,0.0007333435854922205,-8.147746876292533e-05,29,275.51735131727304,275.8268444093883,276.9705758737901,264.67318436072185,mom,264.67318436072185,False,0.2572036386466454
fg3,off,1450,19046.0,0.33870629003465297,0.20667403256560238,0.0004574664147959464,0.0003985868376091355,0.00033590838796603695,0.0003662237389930929,-0.0003355236175848207,29,451.7796845431585,518.5169530567194,615.2690434943792,564.3381642430894,mom,564.3381642430894,False,0.0259423349638254
