system,base,k,held_out,map_o,map_d,scale_o,scale_d,o0,o1,o2,o3,o4,o5,o6,d0,d1,d2,d3,d4,d5,d6
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2012,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.28809,2.54388,-0.51351,0.01571,-0.16844,0.35019,-0.24616,0.89,-2.77611,0.65218,-0.18241,0.20348,-0.15405,0.79225
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2013,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.29183,2.61172,-0.5274,0.01694,-0.19414,0.33831,-0.21832,0.88074,-2.80383,0.66086,-0.17543,0.19494,-0.1421,0.79564
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2014,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.36982,2.46218,-0.49296,0.00783,-0.17925,0.30004,-0.24146,0.92245,-2.66093,0.62297,-0.16626,0.185,-0.16281,0.74291
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2015,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.27603,2.63162,-0.53398,-0.01035,-0.15656,0.35779,-0.25734,0.82731,-2.80888,0.66228,-0.18921,0.19943,-0.0996,0.77342
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2016,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.32969,2.55145,-0.51884,0.026,-0.18646,0.31923,-0.2024,0.86497,-2.749,0.64985,-0.18228,0.20792,-0.13106,0.79723
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2017,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.30984,2.55617,-0.51255,0.01463,-0.18348,0.33392,-0.24774,0.90206,-2.77065,0.6442,-0.16868,0.19308,-0.16341,0.81301
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2018,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.32159,2.66787,-0.54564,0.00906,-0.17736,0.32909,-0.22794,0.85075,-2.86066,0.66612,-0.18619,0.20621,-0.12874,0.82481
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2019,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.36841,2.51289,-0.50411,0.00892,-0.16365,0.30145,-0.24054,0.85434,-2.77502,0.65467,-0.19407,0.21531,-0.12968,0.844
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2020,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.32358,2.4964,-0.49093,0.00852,-0.16993,0.32279,-0.24405,0.89043,-2.77123,0.64801,-0.17264,0.18979,-0.14998,0.73092
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2021,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.3283,2.54501,-0.51314,-0.00628,-0.15774,0.32171,-0.25619,0.8873,-2.68716,0.63109,-0.18137,0.20717,-0.15026,0.82256
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2022,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.30173,2.77204,-0.5726,0.01129,-0.17031,0.34412,-0.24949,0.86049,-2.56018,0.59857,-0.18839,0.20557,-0.13204,0.77794
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2023,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.35506,2.48405,-0.49674,0.02649,-0.17794,0.30682,-0.24767,0.88805,-2.74444,0.64459,-0.18553,0.21029,-0.14359,0.76156
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2024,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.31504,2.3716,-0.46425,-0.00935,-0.1623,0.33389,-0.26062,0.91312,-2.70023,0.63322,-0.2002,0.19788,-0.17656,0.78989
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,2025,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.33231,2.43987,-0.48452,0.00031,-0.15281,0.31878,-0.24445,0.92655,-2.69346,0.63035,-0.1858,0.20222,-0.17707,0.76942
mspi1_lam05_fast_dec07_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec07,3,-1,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.54344,1.76417,0.32335,2.54712,-0.5138,0.01287,-0.17455,0.32624,-0.2414,0.87936,-2.75197,0.64621,-0.18293,0.20306,-0.1449,0.79366
