window,side,n,poss_pct_mean,poss_pct_sd,gs_pct_mean,gs_pct_sd,age_mean,age_sd,apm_mean,apm_sd,spm_mean,spm_sd,u_mean,u_sd,rapm1_mean,rapm1_sd
2010-2010,D,442,0.49659050505305885,0.18738640824207217,0.6239721434954069,0.3926734547571877,27.04358045839929,4.1301452084166534,-0.4380121604104627,3.360208761255138,3.7865208651994324e-17,0.6467000525595257,-0.052369647900783474,0.5564074929693708,-0.052369647900783474,0.8322451180671678
2010-2010,O,442,0.49685765698757545,0.18726347010438793,0.6245264651208274,0.39249662467873775,27.043307240280157,4.130575738991961,0.9661491191814262,3.5632792984083763,2.5243472434662884e-17,1.554550493248875,-0.020080602317675885,0.47542980074745267,-0.020080602317675857,1.5627002139124424
2011-2011,D,452,0.4861478923816575,0.18686526851371257,0.6110072219026569,0.3903400473838277,27.015834715071122,4.12121888936256,-0.19151884997570606,3.4755833555488813,-1.2699114432644081e-17,0.6474615090702894,-0.03449668532558044,0.5739095096538186,-0.03449668532558043,0.8514703045215442
2011-2011,O,452,0.4864550553885026,0.18675228125426058,0.611723121246959,0.39017111492047013,27.01566628850685,4.12097526987991,1.169445104116126,3.6921168287694965,-2.5398228865288162e-17,1.5419088990035534,0.013257535672611483,0.3882305735409747,0.01325753567261148,1.59749074240846
2012-2012,D,478,0.4613927550846309,0.17868824459897437,0.591356547880667,0.39650305063502084,27.04690384384319,4.190248950919336,-0.29215221876127717,3.557648829107676,-1.5895220295543208e-17,0.68969105746729,-0.01741555252456098,0.508776761235517,-0.017415552524561017,0.8487295512201355
2012-2012,O,478,0.4616674421483736,0.1786333741980826,0.5920535900353313,0.39638489666567084,27.046643873772517,4.189590979128547,1.178607445436074,4.158224537983072,6.358088118217283e-17,1.4497435788664659,0.02103247883107343,0.34494081788154235,0.02103247883107351,1.5146136650290767
2013-2013,D,469,0.4730617714339448,0.18442900939301862,0.6005010283885153,0.4080515332981613,27.119752224052718,4.174972591872962,-0.25195805795040743,3.54557431115034,-2.5571734613275083e-17,0.6561269043477527,-0.04180688839760913,0.5364926082236079,-0.041806888397609154,0.8885327265806415
2013-2013,O,469,0.4733761934136764,0.18435923736033047,0.601030474583623,0.4079997079184115,27.119997364085666,4.1754972313537735,1.036603474441567,3.5799280878194324,7.671520383982524e-17,1.5566362394074367,-0.017016906821729506,0.4432857159745359,-0.01701690682172943,1.5641826121642692
2014-2014,D,482,0.47492119104375907,0.1831414807661559,0.6093425460385997,0.3994365114453017,26.97279086672083,4.045817393029095,-0.21921302427554157,3.245299408396228,-2.4888895930845087e-17,0.6532351151377029,-0.028993415517302355,0.541379795928431,-0.028993415517302362,0.8852168446969378
2014-2014,O,482,0.4752113219850192,0.18307496857546,0.6100459527128442,0.3992933316318637,26.974353273185958,4.045755625992585,1.012429490323388,3.672445772972762,1.7422227151591563e-16,1.4986923406341144,-0.008323504257799614,0.4707925245713066,-0.008323504257799496,1.5441685728430037
2015-2015,D,492,0.4454233277594258,0.16877188325474116,0.5863750765788249,0.3871791907780294,27.21280835973657,4.112288188153844,-0.4745171179370972,3.316954386527972,-6.24744134547747e-17,0.647312328183897,-0.03618201843519693,0.5147916963530952,-0.03618201843519702,0.8432865257825554
2015-2015,O,492,0.44560292038527566,0.16874611795743788,0.5868733949262152,0.3871623786857551,27.212127456788853,4.112129912736652,1.1720880692226305,3.9310348758616565,-4.997953076381976e-17,1.3668269174304017,0.02953382118886856,0.4206758250949339,0.029533821188868475,1.5024347689201087
2016-2016,D,476,0.4588233779145071,0.17326466844655639,0.5845926596169373,0.402653493987106,27.123608517939143,4.190093120648042,-0.24312519325384702,3.2206171657621865,0.0,0.6833748075561417,-0.027872469741069807,0.5235359153420636,-0.027872469741069793,0.861215039360367
2016-2016,O,476,0.4590536431419826,0.17321256792493472,0.5851482479373599,0.4025803283904955,27.124183781601655,4.190630259821748,1.0252647281314062,3.6732837102930445,-7.34314741301249e-17,1.4214225345708589,0.003347152018221503,0.4338741419935001,0.003347152018221475,1.5387203066909247
2017-2017,D,486,0.45479573897529063,0.1705109543568242,0.5841455101315235,0.39729216830135966,27.054746001901165,4.078420069105901,-0.5011332928358732,3.172242782638888,0.0,0.6814679274883335,-0.02330079041139155,0.4342422290158923,-0.02330079041139161,0.8157125649746603
2017-2017,O,486,0.45502114772638,0.17044346041659725,0.5845558225976222,0.3972583687147683,27.055797086276858,4.07909647467796,1.3069146003883843,4.062201140022747,-1.218748265574001e-16,1.407310417494902,0.02498984226081095,0.4550591308431047,0.024989842260810805,1.524305942706574
